,v,b0,b1,b2,b3,b4,noise,a,z0,z1,z2,z3,z4,t,pmixturecoef,rate,bic,subj_idx
11,0.7544490916279236,-0.23752796996291434,-0.4127480176062933,-0.1033945341787283,0.010425590631980532,-0.46001792919712603,1.0,0.8299882023861724,0.4618812250935842,0.5316913898461344,0.46705453647504025,0.4609977150261792,0.5838296355111403,0.6921797640215968,0.01,1.0,2694.526384521755,11
12,0.457805918357372,0.012619583155851962,0.21771539719900398,0.13007039509472235,0.08390994979725112,-0.04048263592329872,1.0,0.8403784377533763,0.5408192103820206,0.5276850262892259,0.5228558920047544,0.5627370381393739,0.5256415410803065,0.5258320228310088,0.01,1.0,3189.2616719089456,12
13,0.595451962113493,0.23649510449286978,0.03633511013338522,0.3337511827473133,0.1278586923558226,0.040391471625083816,1.0,0.9338048886379733,0.5134578588014385,0.48657739763697866,0.46379626435550586,0.49856885226507924,0.47976578014768434,0.43677148533425303,0.01,1.0,3357.637550203352,13
14,0.6734144379497123,0.039201338145641744,-0.03977677478963813,-0.009317621778422278,0.0969484721714985,0.40804021607528584,1.0,0.7443222905407518,0.4683996792943383,0.48542392493629344,0.508046022803302,0.5188977447749881,0.4422497066341783,0.516342267020469,0.01,1.0,2327.838661695977,14
15,0.5471472110680928,-0.3414998234275581,-0.02979681315842454,0.08833974542493901,0.21273968901269139,0.41621646839087095,1.0,1.0288140697154593,0.6377956117859516,0.5341040828683408,0.48017040314349785,0.4772250261586511,0.4349541362308721,0.8609940805831043,0.01,1.0,3795.788978751636,15
16,0.9064596094177549,0.19553287050676593,0.06529783308685978,0.2195299368113904,0.30562766244076267,0.36228437856864376,1.0,0.8394663796990292,0.5294084615530734,0.5317288767505912,0.4793790003065417,0.5101112262483107,0.4969325912358556,0.7825045515578108,0.01,1.0,2176.8749383938,16
17,0.7980038098484348,-0.45433951534314726,-0.2545233968526511,-0.20630983982682435,-0.11007764084890241,0.16173458022449688,1.0,0.8262544861272207,0.5734506465872953,0.5113585574021408,0.5115685649417827,0.5174238490551465,0.4551276131172593,0.5423561277301046,0.01,1.0,2429.0552959364304,17
18,0.6369054823004311,0.33667344627637585,0.22727139801358992,0.6016609911963489,0.3938926501461682,0.325055187737038,1.0,0.8462886734841937,0.5628637057969891,0.5983429955945819,0.500664118143423,0.5109874273420992,0.5119225058287413,0.5889753224051929,0.01,1.0,2713.6550585439936,18
19,0.6336752373536645,-0.756974685549328,-0.6034198100313068,-0.49746881617461375,-0.6510033929803686,-0.5634952202394812,1.0,0.9760946699281221,0.546022731804649,0.5319644417970639,0.5143559185720452,0.5945488508286806,0.5094227567782775,1.220925218387719,0.01,1.0,3360.2868589078757,19
20,0.5179640259312603,-0.9613994065639475,-0.8211872377402823,-0.8426311500334087,-0.5112016528461947,-0.6128873156999458,1.0,0.8112098798524263,0.5608765112095115,0.5394373042951399,0.5750008091220646,0.5596401213994912,0.6114001142156401,0.7877599269181714,0.01,1.0,2732.879586928598,20
21,0.9213793130571071,-0.2102445546356945,0.11954952419655875,0.4437604974075176,-0.2723899579712031,-0.024475142021171313,1.0,0.934304362704389,0.5480673876404476,0.45765013367405316,0.42486533737708554,0.5845778986782824,0.5823349383179846,0.8561943638070926,0.01,1.0,1847.5692479792167,21
22,0.876814560664266,-0.4313359073417526,-0.2937358578399156,-0.5342175498352647,-0.31986977763888114,-0.40789493420818845,1.0,0.9417290154409039,0.4889679041605556,0.5099211931403974,0.5404530959821717,0.4927785567375483,0.5583679801278768,0.8837139014328891,0.01,1.0,2619.130560614373,22
23,0.9437878740328269,-0.11973182531163981,-0.23418067771401693,-0.28074188566095004,0.05478748579673912,-0.3087783481019462,1.0,0.5457045961400095,0.5129650222276956,0.5760353338861547,0.6090163937961726,0.5338553487900966,0.573119106713022,0.525510491782874,0.01,1.0,591.6954349390143,23
