,Unnamed: 0,Unnamed: 0.1,response,answer_time,duration_decision,duration_delay,duration_intro,stimulus,signal_probability,trial,volume,time_stim,time_resp,subject,session,run,rt,correct,hit,fa,miss,cr,blink,pupil_stim_1s,pupil_resp_1s,subj_idx
66,70,70,1,1.4319560527801514,2.5,3.542611726680001,0.0,1,70,70,0.04,768.4110000000002,769.862,ab,2,5,1.450999999999908,1,1,0,0,0,False,0.8454872296224202,26.263738368382597,0
67,71,71,1,1.9009130001068115,2.5,3.3061289530299995,0.0,0,70,71,0.04,773.194,775.1160000000001,ab,2,5,1.9220000000001392,0,0,1,0,0,False,15.867114074832802,14.188232471964962,0
68,72,72,1,1.5483698844909668,2.5,3.50397654769,0.0,1,70,72,0.04,778.648,780.216,ab,2,5,1.5679999999999836,1,1,0,0,0,False,14.242450321033605,21.538901971066625,0
69,73,73,0,1.4670770168304443,2.5,3.65117840398,0.0,0,70,73,0.04,783.8960000000002,785.382,ab,2,5,1.4859999999998763,1,0,0,0,1,False,1.537515982036712,25.16645368189024,0
70,74,74,0,1.6166732311248782,2.5,3.39897126107,0.0,0,70,74,0.04,788.813,790.449,ab,2,5,1.6359999999999673,1,0,0,0,1,False,10.402385988676807,17.07048039170825,0
71,75,75,0,1.9141860008239744,2.5,3.75586186996,0.0,0,70,75,0.04,794.2339999999998,796.17,ab,2,5,1.9360000000000357,1,0,0,0,1,False,24.480561978752416,7.899692596575469,0
72,76,76,1,1.7004520893096924,2.5,3.83753266805,0.0,0,70,76,0.04,800.049,801.768,ab,2,5,1.719000000000051,0,0,1,0,0,False,3.4796386143978975,-0.03276070942699884,0
73,77,77,1,1.2686519622802734,2.5,3.1029069434200003,0.0,1,70,77,0.04,804.9019999999998,806.189,ab,2,5,1.2870000000000346,1,1,0,0,0,False,11.660457023394397,25.181926566638346,0
74,78,78,1,1.4994909763336182,2.5,3.18081331732,0.0,1,70,78,0.04,809.404,810.923,ab,2,5,1.5190000000000057,1,1,0,0,0,False,16.642945962393142,-8.207670022830248,0
75,79,79,0,1.4159409999847412,2.5,3.14559201935,0.0,0,70,79,0.04,814.102,815.5419999999998,ab,2,5,1.4399999999999409,1,0,0,0,1,False,7.256756727440475,-0.8563805814832454,0
76,80,80,1,1.2663969993591309,2.5,3.3043632420099995,30.0,1,70,80,0.04,820.9069999999998,822.192,ab,2,5,1.285000000000082,1,1,0,0,0,False,23.66047560994479,-3.5209105067164446,0
77,82,82,1,1.4200921058654783,2.5,3.4804761467,0.0,1,70,82,0.04,831.305,832.745,ab,2,5,1.4400000000000546,1,1,0,0,0,False,13.170411793094877,-11.910197843302434,0
78,83,83,1,1.4511301517486572,2.5,3.5396042053300003,0.0,1,70,83,0.04,836.325,837.795,ab,2,5,1.4699999999999136,1,1,0,0,0,False,12.98843058860785,-2.127026414906352,0
79,84,84,1,1.5176439285278318,2.5,3.19606302837,0.0,1,70,84,0.04,841.025,842.561,ab,2,5,1.5360000000000582,1,1,0,0,0,False,24.887281694632293,-0.3704647457560433,0
80,85,85,0,1.7487540245056152,2.5,3.14226916385,0.0,0,70,85,0.04,845.73,847.498,ab,2,5,1.7680000000000289,1,0,0,0,1,False,19.83125828595514,-6.588863017276171,0
81,86,86,0,1.89854097366333,2.5,3.68651778209,0.0,0,70,86,0.04,851.2130000000002,853.1310000000002,ab,2,5,1.9180000000000064,1,0,0,0,1,False,16.5731719173379,13.269311990219169,0
82,87,87,1,1.50400710105896,2.5,3.6002220584900004,0.0,1,70,87,0.04,856.7610000000002,858.284,ab,2,5,1.5229999999999109,1,1,0,0,0,False,-2.9832691659545283,4.58104448611895,0
83,88,88,1,1.4175500869750977,2.5,3.16390768016,0.0,1,70,88,0.04,861.4810000000001,862.9169999999998,ab,2,5,1.435999999999808,1,1,0,0,0,False,-6.822328416892047,6.008527873955579,0
84,89,89,1,1.4322688579559326,2.5,3.0113653742400004,0.0,1,70,89,0.04,865.966,867.418,ab,2,5,1.4519999999999982,1,1,0,0,0,False,11.773551690947066,-10.531582842755947,0
85,90,90,0,1.3844130039215088,2.5,3.37848795178,0.0,0,70,90,0.04,870.831,872.2330000000002,ab,2,5,1.4020000000000437,1,0,0,0,1,False,11.682100679875672,-8.263032913213094,0
86,91,91,1,1.316521167755127,2.5,3.61442886332,0.0,1,70,91,0.04,875.8839999999999,877.22,ab,2,5,1.3360000000001264,1,1,0,0,0,False,5.117121715012236,-9.895008890147652,0
87,92,92,1,1.6654260158538818,2.5,3.92228879508,0.0,1,70,92,0.04,881.185,882.8710000000002,ab,2,5,1.6860000000001492,1,1,0,0,0,False,0.8416283981109136,3.937046105472148,0
88,93,93,1,1.566295862197876,2.5,3.52170286674,0.0,1,70,93,0.04,886.422,888.007,ab,2,5,1.5849999999999227,1,1,0,0,0,False,4.862232984073234,1.8611694214152132,0
89,94,94,1,1.566659927368164,2.5,3.14714969195,0.0,1,70,94,0.04,891.188,892.7739999999999,ab,2,5,1.5859999999998993,1,1,0,0,0,False,12.835837209468371,13.061554176888038,0
90,95,95,1,1.949668884277344,2.5,3.62618278461,0.0,1,70,95,0.04,896.437,898.4110000000002,ab,2,5,1.9740000000000464,1,1,0,0,0,False,24.404943876721475,6.677640943126485,0
91,96,96,1,1.716750144958496,2.5,3.98561855701,0.0,1,70,96,0.04,902.424,904.161,ab,2,5,1.7370000000000803,1,1,0,0,0,False,14.15624200823316,5.981533997437665,0
92,97,97,0,1.4503278732299805,2.5,3.1680036134900003,0.0,0,70,97,0.04,907.356,908.826,ab,2,5,1.4699999999999136,1,0,0,0,1,False,9.277597144356386,19.015864612681952,0
93,98,98,1,2.016339063644409,2.5,3.64652056246,0.0,1,70,98,0.04,912.51,914.544,ab,2,5,2.033999999999992,1,1,0,0,0,False,23.4908195324547,-2.006946572955836,0
94,99,99,1,1.6158800125122068,2.5,3.17835093499,0.0,1,70,99,0.04,917.761,919.396,ab,2,5,1.6349999999999911,1,1,0,0,0,False,18.498530692786836,-13.347777802341158,0
95,100,100,1,1.683199167251587,2.5,3.689215217180001,0.0,1,70,100,0.04,923.111,924.812,ab,2,5,1.700999999999908,1,1,0,0,0,False,7.657942318290189,-6.441383973044233,0
96,101,101,0,1.4976141452789309,2.5,3.52193965543,0.0,0,70,101,0.04,928.365,929.882,ab,2,5,1.5169999999999388,1,0,0,0,1,False,14.937028866509046,-4.784763824334571,0
97,102,102,1,1.6991369724273682,2.5,3.2953937698400004,0.0,1,70,102,0.04,933.213,934.933,ab,2,5,1.7199999999999136,1,1,0,0,0,False,17.3974803681097,8.678158806122163,0
98,103,103,1,1.8503611087799072,2.5,3.6240179059,0.0,1,70,103,0.04,938.599,940.469,ab,2,5,1.8700000000000043,1,1,0,0,0,False,6.943233519031656,-5.377727651823497,0
99,105,105,1,2.133485078811645,2.5,3.48191870203,0.0,1,70,105,0.04,949.233,951.385,ab,2,5,2.15199999999993,1,1,0,0,0,False,22.045315583166445,11.206278858833178,0
100,106,106,1,1.333137035369873,2.5,3.10812173543,0.0,1,70,106,0.04,954.52,955.873,ab,2,5,1.3530000000000657,1,1,0,0,0,False,5.372176629955963,5.3096865813699585,0
101,107,107,0,1.9007349014282229,2.5,3.49847521571,0.0,1,70,107,0.04,959.401,961.321,ab,2,5,1.9199999999999589,0,0,0,1,0,False,19.38240829803069,-12.539066463083117,0
102,108,108,1,1.6500201225280762,2.5,3.5100919442,0.0,1,70,108,0.04,964.869,966.542,ab,2,5,1.6730000000000018,1,1,0,0,0,False,9.371839306652411,-3.0991923442549525,0
103,109,109,1,2.048919200897217,2.5,3.87566674297,0.0,1,70,109,0.04,970.457,972.525,ab,2,5,2.067999999999984,1,1,0,0,0,False,25.996288951741985,-0.8004101104116113,0
104,110,110,1,1.6504051685333252,2.5,3.7541066440300006,0.0,1,70,110,0.04,976.321,977.99,ab,2,5,1.6689999999999827,1,1,0,0,0,False,6.71002581829846,-10.292255294251515,0
105,111,111,0,2.4359359741210938,2.5,3.3638288327599994,0.0,1,70,111,0.04,981.389,983.844,ab,2,5,2.455000000000041,0,0,0,1,0,False,4.271605581171413,6.598643100357493,0
106,112,112,0,1.6830658912658691,2.5,3.52114367011,0.0,0,70,112,0.04,987.392,989.095,ab,2,5,1.7030000000000882,1,0,0,0,1,False,1.6515404185273919,9.852026882406935,0
107,113,113,0,2.1164791584014893,2.5,3.8961945054,0.0,1,70,113,0.04,993.028,995.164,ab,2,5,2.1359999999999677,0,0,0,1,0,False,4.982301413780124,16.574598470546498,0
108,114,114,1,1.600527048110962,2.5,3.17733003611,0.0,1,70,114,0.04,998.377,999.998,ab,2,5,1.6210000000000946,1,1,0,0,0,False,17.080429851495087,5.15173973918751,0
109,115,115,1,1.5677080154418943,2.5,3.45861014569,0.0,1,70,115,0.04,1003.493,1005.08,ab,2,5,1.5869999999999889,1,1,0,0,0,False,16.251725776580344,15.06823629259437,0
110,116,116,1,1.5029828548431396,2.5,3.02010664521,0.0,1,70,116,0.04,1008.127,1009.65,ab,2,5,1.5230000000000246,1,1,0,0,0,False,16.046303020634557,8.311884861365618,0
111,117,117,0,1.7829630374908447,2.5,3.18820592646,0.0,0,70,117,0.04,1012.93,1014.734,ab,2,5,1.8039999999999736,1,0,0,0,1,False,16.2471972999515,-5.281313358464258,0
112,118,118,0,1.89683198928833,2.5,3.54863570886,0.0,0,70,118,0.04,1018.318,1020.237,ab,2,5,1.9189999999999827,1,0,0,0,1,False,9.043916452593527,-3.9718360878823287,0
113,120,0,1,1.5669918060302734,2.5,3.19582686209,30.0,1,70,0,0.035,1133.392,1134.977,ab,2,6,1.584999999999809,1,1,0,0,0,False,4.42432348884929,10.188342784325297,0
114,121,1,1,1.5674049854278564,2.5,3.57203381215,0.0,1,70,1,0.035,1138.557,1140.144,ab,2,6,1.5869999999999889,1,1,0,0,0,False,6.197329600698975,19.890378484376267,0
115,122,2,1,1.600250005722046,2.5,3.46095665496,0.0,1,70,2,0.035,1143.644,1145.262,ab,2,6,1.6179999999999382,1,1,0,0,0,False,12.59415824847122,14.70137547585811,0
116,123,3,0,2.183357954025269,2.5,3.97913205614,0.0,1,70,3,0.035,1149.277,1151.479,ab,2,6,2.2019999999999977,0,0,0,1,0,False,-6.953487726040853,11.546702248030613,0
117,124,4,0,1.8999431133270264,2.5,3.5897147572000003,0.0,0,70,4,0.035,1155.114,1157.033,ab,2,6,1.9190000000000964,1,0,0,0,1,False,15.635845008101109,12.052503662789507,0
118,125,5,0,1.8164691925048828,2.5,3.09040880978,0.0,0,70,5,0.035,1160.164,1161.999,ab,2,6,1.8350000000000364,1,0,0,0,1,False,12.544414890409627,4.753126645385323,0
119,126,6,1,1.9320340156555176,2.5,3.9095625598,0.0,1,70,6,0.035,1165.948,1167.899,ab,2,6,1.9509999999997945,1,1,0,0,0,False,10.972502340369678,4.407044445572771,0
120,127,7,1,1.4671928882598877,2.5,3.09098491568,0.0,1,70,7,0.035,1171.034,1172.519,ab,2,6,1.485000000000127,1,1,0,0,0,False,18.64406813303422,7.287245190162923,0
121,128,8,1,1.500040054321289,2.5,3.91199646498,0.0,1,70,8,0.035,1176.466,1177.986,ab,2,6,1.5199999999999818,1,1,0,0,0,False,17.562031554956118,5.7981361018195035,0
122,129,9,1,1.7325379848480225,2.5,3.83113487212,0.0,1,70,9,0.035,1181.85,1183.603,ab,2,6,1.7530000000001564,1,1,0,0,0,False,2.0979926999820915,7.334331765699686,0
123,130,10,1,1.6153321266174316,2.5,3.76526883114,0.0,1,70,10,0.035,1187.403,1189.039,ab,2,6,1.6359999999999673,1,1,0,0,0,False,7.716571152028046,2.7889607399466643,0
124,131,11,1,1.5994348526000977,2.5,3.2544232525200005,0.0,1,70,11,0.035,1192.337,1193.955,ab,2,6,1.6179999999999382,1,1,0,0,0,False,8.865021868857797,15.40702308357062,0
125,132,12,0,1.8663969039916992,2.5,3.1979917882700004,0.0,0,70,12,0.035,1197.187,1199.071,ab,2,6,1.884000000000242,1,0,0,0,1,False,12.43082698254142,10.122148727441736,0
126,133,13,1,1.6170170307159424,2.5,3.26648146674,0.0,1,70,13,0.035,1202.373,1204.008,ab,2,6,1.6349999999999911,1,1,0,0,0,False,12.606648775212118,7.20619683356123,0
127,134,14,1,1.7328569889068604,2.5,3.95894538393,0.0,1,70,14,0.035,1208.007,1209.759,ab,2,6,1.7519999999999527,1,1,0,0,0,False,10.144353785732251,-0.9282413443629167,0
128,135,15,1,1.731719970703125,2.5,3.5739141790400004,0.0,0,70,15,0.035,1213.36,1215.112,ab,2,6,1.75200000000018,0,0,1,0,0,False,8.187184563508698,4.006578517084594,0
129,136,16,0,1.7670071125030518,2.5,3.07463640079,0.0,1,70,16,0.035,1218.225,1220.011,ab,2,6,1.7860000000000582,0,0,0,1,0,False,22.186890661974587,10.580155016131478,0
130,137,17,1,1.6042461395263672,2.5,3.1617816333599995,0.0,1,70,17,0.035,1223.208,1224.828,ab,2,6,1.6199999999998909,1,1,0,0,0,False,7.258829415780632,5.7322949443507625,0
131,138,18,0,1.4003779888153076,2.5,3.8431814092,0.0,0,70,18,0.035,1228.712,1230.132,ab,2,6,1.4200000000000728,1,0,0,0,1,False,1.6405714230245252,17.338660926666744,0
132,139,19,0,2.100913047790528,2.5,3.32790088954,0.0,0,70,19,0.035,1233.493,1235.615,ab,2,6,2.122000000000071,1,0,0,0,1,False,10.253573795344256,10.741816051169558,0
133,140,20,1,1.6996200084686282,2.5,3.807838777,0.0,1,70,20,0.035,1239.465,1241.184,ab,2,6,1.719000000000051,1,1,0,0,0,False,11.116534885714715,6.795086509821756,0
134,141,21,1,1.9494538307189941,2.5,3.3024807374000003,0.0,1,70,21,0.035,1244.515,1246.483,ab,2,6,1.9679999999998472,1,1,0,0,0,False,6.864260958177213,8.437878622734292,0
135,142,22,1,2.00101900100708,2.5,3.81996985576,0.0,1,70,22,0.035,1250.331,1252.35,ab,2,6,2.018999999999778,1,1,0,0,0,False,-5.730922045417384,14.693678495993613,0
136,143,23,1,1.6340949535369873,2.5,3.31060985747,0.0,1,70,23,0.035,1255.701,1257.354,ab,2,6,1.65300000000002,1,1,0,0,0,False,2.8428694371554957,1.1506390171793925,0
137,144,24,1,1.3512790203094482,2.5,3.1644687308599995,0.0,1,70,24,0.035,1260.55,1261.921,ab,2,6,1.3710000000000946,1,1,0,0,0,False,15.831563315331014,1.7233261966202353,0
138,145,25,1,1.6658871173858645,2.5,3.90360119248,0.0,1,70,25,0.035,1265.855,1267.5410000000004,ab,2,6,1.6860000000001492,1,1,0,0,0,False,12.506498383913469,7.103479334734746,0
139,146,26,0,2.447926044464112,2.5,3.91039269541,0.0,1,70,26,0.035,1271.488,1273.956,ab,2,6,2.4680000000000746,0,0,0,1,0,False,7.241007967557479,4.557129362770109,0
140,147,27,0,2.0846729278564453,2.5,3.75170797768,0.0,1,70,27,0.035,1277.736,1279.844,ab,2,6,2.1079999999999472,0,0,0,1,0,False,3.1122177019662494,12.728994511516179,0
141,148,28,1,1.3640480041503906,2.5,3.81125414672,0.0,1,70,28,0.035,1283.692,1285.078,ab,2,6,1.3859999999999673,1,1,0,0,0,False,-7.957528681522177,9.624771004599609,0
142,149,29,1,1.850910902023316,2.5,3.86426622054,0.0,1,70,29,0.035,1288.973,1290.842,ab,2,6,1.8689999999999145,1,1,0,0,0,False,15.84565985190588,11.101099478240034,0
143,150,30,0,2.250005960464477,2.5,3.3713378735500004,0.0,0,70,30,0.035,1294.245,1296.512,ab,2,6,2.2670000000000528,1,0,0,0,1,False,0.48419538327530276,23.685501576561215,0
144,151,31,1,1.316349983215332,2.5,3.91686147501,0.0,1,70,31,0.035,1300.46,1301.797,ab,2,6,1.3369999999999889,1,1,0,0,0,False,3.494578567358372,30.41872753161297,0
145,152,32,0,2.167764186859131,2.5,3.14668035809,0.0,1,70,32,0.035,1304.98,1307.1660000000004,ab,2,6,2.186000000000149,0,0,0,1,0,False,3.031606905195909,3.2410892490748235,0
146,153,33,1,1.9143249988555908,2.5,3.73258076097,0.0,1,70,33,0.035,1310.931,1312.8670000000004,ab,2,6,1.9360000000001487,1,1,0,0,0,False,25.35439625897093,11.276682107894473,0
147,154,34,1,1.449289083480835,2.5,3.64774772132,0.0,1,70,34,0.035,1316.546,1318.015,ab,2,6,1.469000000000051,1,1,0,0,0,False,6.631034429987759,-9.18197423269582,0
148,155,35,1,1.8160150051116943,2.5,3.06677607626,0.0,1,70,35,0.035,1321.1170000000004,1322.953,ab,2,6,1.8359999999997851,1,1,0,0,0,False,29.048035460252482,1.1738219129301468,0
149,156,36,0,1.3183839321136477,2.5,3.93835822004,0.0,0,70,36,0.035,1326.932,1328.269,ab,2,6,1.3369999999999889,1,0,0,0,1,False,13.704779860088141,4.493047565116162,0
150,157,37,1,1.6867270469665527,2.5,3.63690475926,0.0,1,70,37,0.035,1331.933,1333.635,ab,2,6,1.7019999999999982,1,1,0,0,0,False,2.0935395312224263,1.9692912740030104,0
151,158,38,1,1.5827949047088623,2.5,3.33966589504,0.0,1,70,38,0.035,1337.003,1338.606,ab,2,6,1.6030000000000657,1,1,0,0,0,False,-0.502092955511567,-4.237545800148309,0
152,159,39,1,1.6009430885314941,2.5,3.52882295409,0.0,1,70,39,0.035,1342.168,1343.787,ab,2,6,1.619000000000142,1,1,0,0,0,False,1.0787716967949894,6.334248426689211,0
153,160,40,0,1.8997409343719482,2.5,3.77376778781,30.0,0,70,40,0.035,1349.556,1351.475,ab,2,6,1.9189999999998693,1,0,0,0,1,False,14.403999579344076,-6.5570055206344176,0
154,161,41,1,1.5155999660491943,2.5,3.5011482634,0.0,1,70,41,0.035,1355.006,1356.54,ab,2,6,1.533999999999878,1,1,0,0,0,False,12.77279179881799,-7.719107016457765,0
155,162,42,0,1.8497729301452643,2.5,3.52701090135,0.0,0,70,42,0.035,1360.106,1361.9779999999996,ab,2,6,1.871999999999844,1,0,0,0,1,False,8.304251280598002,-5.461854685058158,0
156,163,43,0,1.5991449356079102,2.5,3.70515923794,0.0,0,70,43,0.035,1365.725,1367.344,ab,2,6,1.619000000000142,1,0,0,0,1,False,3.0842119076429775,5.302541986441104,0
157,164,44,1,1.496985912322998,2.5,3.84463160982,0.0,1,70,44,0.035,1371.2279999999996,1372.743,ab,2,6,1.5150000000001,1,1,0,0,0,False,0.6307636182717105,0.6966793170161577,0
158,165,45,1,1.5330359935760498,2.5,3.87890417666,0.0,1,70,45,0.035,1376.662,1378.215,ab,2,6,1.5529999999998836,1,1,0,0,0,False,20.290586654452472,5.141700733838867,0
159,166,46,1,1.4844520092010498,2.5,3.45415959828,0.0,1,70,46,0.035,1381.71,1383.214,ab,2,6,1.5039999999999054,1,1,0,0,0,False,-2.272985172218254,18.061999478718224,0
160,167,47,1,1.5453331470489502,2.5,3.29610216677,0.0,1,70,47,0.035,1386.549,1388.1129999999996,ab,2,6,1.5639999999998508,1,1,0,0,0,False,7.885575587686699,0.8122865646941306,0
161,168,48,1,1.6663649082183838,2.5,3.24798910762,0.0,1,70,48,0.035,1391.398,1393.083,ab,2,6,1.6849999999999454,1,1,0,0,0,False,9.949938350733138,-5.8840556703494595,0
162,169,49,1,1.6010820865631104,2.5,3.3982084252900004,0.0,1,70,49,0.035,1396.514,1398.132,ab,2,6,1.6180000000001655,1,1,0,0,0,False,23.576683022839863,1.1316670311672328,0
163,170,50,1,1.6166949272155762,2.5,3.4511720101,0.0,1,70,50,0.035,1401.618,1403.254,ab,2,6,1.6359999999999673,1,1,0,0,0,False,-5.743609704446177,8.035717797969834,0
164,171,51,0,1.4665040969848633,2.5,3.23814492424,0.0,0,70,51,0.035,1406.534,1408.019,ab,2,6,1.485000000000127,1,0,0,0,1,False,14.508557082482975,8.52761734484412,0
165,172,52,0,2.32143497467041,2.5,3.9062730176,0.0,1,70,52,0.035,1411.966,1414.304,ab,2,6,2.3379999999997385,0,0,0,1,0,False,-2.3259433584394724,16.96505153701481,0
166,173,53,0,1.9984309673309328,2.5,3.11101151185,0.0,1,70,53,0.035,1417.454,1419.473,ab,2,6,2.019000000000005,0,0,0,1,0,False,11.396114191993153,-0.9037099821859556,0
167,174,54,1,1.5490260124206543,2.5,3.06004525033,0.0,1,70,54,0.035,1422.571,1424.14,ab,2,6,1.56899999999996,1,1,0,0,0,False,17.272576776062078,-4.387308734810385,0
168,175,55,1,1.5697829723358154,2.5,3.80012342185,0.0,1,70,55,0.035,1427.97,1429.561,ab,2,6,1.591000000000122,1,1,0,0,0,False,-6.217705161334732,-3.36084717500499,0
169,176,56,1,1.7325749397277832,2.5,3.26739057909,0.0,1,70,56,0.035,1432.8570000000002,1434.609,ab,2,6,1.751999999999725,1,1,0,0,0,False,32.16547884196773,-12.448172107161552,0
170,177,57,0,1.6999528408050537,2.5,3.48532127339,0.0,0,70,57,0.035,1438.122,1439.8429999999996,ab,2,6,1.7209999999997765,1,0,0,0,1,False,7.691283854564244,-9.789791337607216,0
171,178,58,1,1.5660090446472168,2.5,3.63597326893,0.0,1,70,58,0.035,1443.511,1445.094,ab,2,6,1.5830000000000837,1,1,0,0,0,False,15.335788486311525,-1.2325056369252698,0
172,179,59,1,1.6153678894042969,2.5,3.80620600635,0.0,1,70,59,0.035,1448.943,1450.578,ab,2,6,1.6349999999999911,1,1,0,0,0,False,1.230532288927953,14.152712262569795,0
173,180,60,0,1.817007064819336,2.5,3.71795221413,0.0,0,70,60,0.035,1454.325,1456.162,ab,2,6,1.8369999999999889,1,0,0,0,1,False,17.077067592876464,-7.32098826668884,0
174,181,61,1,1.6827049255371094,2.5,3.65366295084,0.0,1,70,61,0.035,1459.8470000000002,1461.5479999999998,ab,2,6,1.700999999999567,1,1,0,0,0,False,26.16136654870291,1.1720054234917514,0
175,182,62,1,1.7832889556884766,2.5,3.15480967871,0.0,1,70,62,0.035,1464.729,1466.5320000000004,ab,2,6,1.803000000000111,1,1,0,0,0,False,13.85856359828938,-5.560685000294239,0
176,183,63,0,2.0160160064697266,2.5,3.43192643405,0.0,0,70,63,0.035,1469.999,1472.035,ab,2,6,2.036000000000058,1,0,0,0,1,False,7.713169040418328,4.861138753932638,0
177,184,64,1,1.700085163116455,2.5,3.95078381029,0.0,1,70,64,0.035,1476.015,1477.736,ab,2,6,1.7210000000000036,1,1,0,0,0,False,12.018710908849348,-10.88839919410843,0
178,185,65,0,1.8996391296386719,2.5,3.54252160383,0.0,0,70,65,0.035,1481.319,1483.2379999999996,ab,2,6,1.9189999999998693,1,0,0,0,1,False,4.207205340722581,2.377860654388041,0
179,186,66,1,1.732738971710205,2.5,3.0032018647900003,0.0,1,70,66,0.035,1486.269,1488.02,ab,2,6,1.7509999999999764,1,1,0,0,0,False,5.451844945970955,14.664290454828473,0
180,187,67,1,2.0176098346710205,2.5,3.16492111977,0.0,1,70,67,0.035,1491.2179999999996,1493.255,ab,2,6,2.037000000000262,1,1,0,0,0,False,24.180058850885086,9.390953851286783,0
181,188,68,1,1.998095989227295,2.5,3.86362779368,0.0,1,70,68,0.035,1497.156,1499.174,ab,2,6,2.018000000000029,1,1,0,0,0,False,17.37452549494616,20.18018820896804,0
182,189,69,1,2.015918016433716,2.5,3.57083109417,0.0,1,70,69,0.035,1502.7720000000004,1504.808,ab,2,6,2.035999999999831,1,1,0,0,0,False,4.946155880681318,9.40492535055713,0
183,190,70,0,1.671586990356445,2.5,3.44339109391,0.0,0,70,70,0.035,1508.287,1509.9779999999996,ab,2,6,1.6909999999998035,1,0,0,0,1,False,12.258790144725623,-2.474653704062086,0
184,191,71,1,1.781708002090454,2.5,3.4180845984,0.0,1,70,71,0.035,1513.4260000000004,1515.227,ab,2,6,1.8009999999999309,1,1,0,0,0,False,23.395039990975864,2.520965336888618,0
185,192,72,0,1.9329249858856201,2.5,3.16973022312,0.0,1,70,72,0.035,1518.425,1520.376,ab,2,6,1.9510000000000216,0,0,0,1,0,False,7.993377611131672,16.933987077376095,0
186,193,73,1,1.8029789924621584,2.5,3.40939550166,0.0,1,70,73,0.035,1523.825,1525.648,ab,2,6,1.8229999999998652,1,1,0,0,0,False,21.057563137473682,10.58972563589398,0
187,194,74,0,1.5500819683074951,2.5,3.87200817884,0.0,0,70,74,0.035,1529.561,1531.132,ab,2,6,1.570999999999913,1,0,0,0,1,False,13.621378811846878,6.32273654115488,0
188,195,75,1,1.7337040901184082,2.5,3.5306427427800005,0.0,1,70,75,0.035,1534.694,1536.4489999999996,ab,2,6,1.7549999999998818,1,1,0,0,0,False,16.456095429037035,-3.134707387355487,0
189,196,76,0,1.3491549491882324,2.5,3.59454982252,0.0,0,70,76,0.035,1540.08,1541.4489999999996,ab,2,6,1.3689999999999145,1,0,0,0,1,False,13.473847811498715,0.9488913840742771,0
190,197,77,1,1.7499830722808838,2.5,3.83671645505,0.0,1,70,77,0.035,1545.314,1547.083,ab,2,6,1.7690000000000057,1,1,0,0,0,False,11.590041315521047,1.1383361387416226,0
191,198,78,0,1.9334120750427248,2.5,3.07984123022,0.0,1,70,78,0.035,1550.197,1552.1529999999998,ab,2,6,1.955999999999676,0,0,0,1,0,False,19.7524233545622,-2.770348386637079,0
192,199,79,1,1.7846200466156006,2.5,3.2373619659599995,0.0,1,70,79,0.035,1555.434,1557.237,ab,2,6,1.803000000000111,1,1,0,0,0,False,11.955083328384589,-7.240238557461307,0
